id,cliente,ciudad,edad,compras,total_usd,activo,categoria
1,Cliente_00001,Medellín,19,1,22.95,Sí,Plata
2,Cliente_00002,Cali,20,2,45.9,Sí,Oro
3,Cliente_00003,Cartagena,21,3,68.85,No,Platino
4,Cliente_00004,Bucaramanga,22,4,91.8,Sí,Bronce
5,Cliente_00005,Pereira,23,5,114.75,Sí,Plata
6,Cliente_00006,Bogotá,24,6,137.7,No,Oro
7,Cliente_00007,Medellín,25,7,160.65,Sí,Platino
8,Cliente_00008,Cali,26,8,183.6,Sí,Bronce
9,Cliente_00009,Cartagena,27,9,206.55,No,Plata
10,Cliente_00010,Bucaramanga,28,10,229.5,Sí,Oro
11,Cliente_00011,Pereira,29,11,252.45,Sí,Platino
12,Cliente_00012,Bogotá,30,12,275.4,No,Bronce
13,Cliente_00013,Medellín,31,13,298.35,Sí,Plata
14,Cliente_00014,Cali,32,14,321.3,Sí,Oro
15,Cliente_00015,Cartagena,33,15,344.25,No,Platino
16,Cliente_00016,Bucaramanga,34,16,367.2,Sí,Bronce
17,Cliente_00017,Pereira,35,17,335.75,Sí,Plata
18,Cliente_00018,Bogotá,36,18,358.7,No,Oro
19,Cliente_00019,Medellín,37,19,381.65,Sí,Platino
20,Cliente_00020,Cali,38,20,404.6,Sí,Bronce
21,Cliente_00021,Cartagena,39,21,427.55,No,Plata
22,Cliente_00022,Bucaramanga,40,22,450.5,Sí,Oro
23,Cliente_00023,Pereira,41,23,473.45,Sí,Platino
24,Cliente_00024,Bogotá,42,24,496.4,No,Bronce
25,Cliente_00025,Medellín,43,0,25.6,Sí,Plata
26,Cliente_00026,Cali,44,1,48.55,Sí,Oro
27,Cliente_00027,Cartagena,45,2,71.5,No,Platino
28,Cliente_00028,Bucaramanga,46,3,94.45,Sí,Bronce
29,Cliente_00029,Pereira,47,4,117.4,Sí,Plata
30,Cliente_00030,Bogotá,48,5,140.35,No,Oro
31,Cliente_00031,Medellín,49,6,163.3,Sí,Platino
32,Cliente_00032,Cali,50,7,186.25,Sí,Bronce
33,Cliente_00033,Cartagena,51,8,209.2,No,Plata
34,Cliente_00034,Bucaramanga,52,9,177.75,Sí,Oro
35,Cliente_00035,Pereira,53,10,200.7,Sí,Platino
36,Cliente_00036,Bogotá,54,11,223.65,No,Bronce
37,Cliente_00037,Medellín,55,12,246.6,Sí,Plata
38,Cliente_00038,Cali,56,13,269.55,Sí,Oro
39,Cliente_00039,Cartagena,57,14,292.5,No,Platino
40,Cliente_00040,Bucaramanga,58,15,315.45,Sí,Bronce
41,Cliente_00041,Pereira,59,16,338.4,Sí,Plata
42,Cliente_00042,Bogotá,60,17,361.35,No,Oro
43,Cliente_00043,Medellín,61,18,384.3,Sí,Platino
44,Cliente_00044,Cali,62,19,407.25,Sí,Bronce
45,Cliente_00045,Cartagena,63,20,430.2,No,Plata
46,Cliente_00046,Bucaramanga,64,21,453.15,Sí,Oro
47,Cliente_00047,Pereira,65,22,476.1,Sí,Platino
48,Cliente_00048,Bogotá,66,23,499.05,No,Bronce
49,Cliente_00049,Medellín,67,24,522.0,Sí,Plata
50,Cliente_00050,Cali,68,0,51.2,Sí,Oro
51,Cliente_00051,Cartagena,69,1,19.75,No,Platino
52,Cliente_00052,Bucaramanga,70,2,42.7,Sí,Bronce
53,Cliente_00053,Pereira,18,3,65.65,Sí,Plata
54,Cliente_00054,Bogotá,19,4,88.6,No,Oro
55,Cliente_00055,Medellín,20,5,111.55,Sí,Platino
56,Cliente_00056,Cali,21,6,134.5,Sí,Bronce
57,Cliente_00057,Cartagena,22,7,157.45,No,Plata
58,Cliente_00058,Bucaramanga,23,8,180.4,Sí,Oro
59,Cliente_00059,Pereira,24,9,203.35,Sí,Platino
60,Cliente_00060,Bogotá,25,10,226.3,No,Bronce
61,Cliente_00061,Medellín,26,11,249.25,Sí,Plata
62,Cliente_00062,Cali,27,12,272.2,Sí,Oro
63,Cliente_00063,Cartagena,28,13,295.15,No,Platino
64,Cliente_00064,Bucaramanga,29,14,318.1,Sí,Bronce
65,Cliente_00065,Pereira,30,15,341.05,Sí,Plata
66,Cliente_00066,Bogotá,31,16,364.0,No,Oro
67,Cliente_00067,Medellín,32,17,386.95,Sí,Platino
68,Cliente_00068,Cali,33,18,355.5,Sí,Bronce
69,Cliente_00069,Cartagena,34,19,378.45,No,Plata
70,Cliente_00070,Bucaramanga,35,20,401.4,Sí,Oro
71,Cliente_00071,Pereira,36,21,424.35,Sí,Platino
72,Cliente_00072,Bogotá,37,22,447.3,No,Bronce
73,Cliente_00073,Medellín,38,23,470.25,Sí,Plata
74,Cliente_00074,Cali,39,24,493.2,Sí,Oro
75,Cliente_00075,Cartagena,40,0,22.4,No,Platino
76,Cliente_00076,Bucaramanga,41,1,45.35,Sí,Bronce
77,Cliente_00077,Pereira,42,2,68.3,Sí,Plata
78,Cliente_00078,Bogotá,43,3,91.25,No,Oro
79,Cliente_00079,Medellín,44,4,114.2,Sí,Platino
80,Cliente_00080,Cali,45,5,137.15,Sí,Bronce
81,Cliente_00081,Cartagena,46,6,160.1,No,Plata
82,Cliente_00082,Bucaramanga,47,7,183.05,Sí,Oro
83,Cliente_00083,Pereira,48,8,206.0,Sí,Platino
84,Cliente_00084,Bogotá,49,9,228.95,No,Bronce
85,Cliente_00085,Medellín,50,10,197.5,Sí,Plata
86,Cliente_00086,Cali,51,11,220.45,Sí,Oro
87,Cliente_00087,Cartagena,52,12,243.4,No,Platino
88,Cliente_00088,Bucaramanga,53,13,266.35,Sí,Bronce
89,Cliente_00089,Pereira,54,14,289.3,Sí,Plata
90,Cliente_00090,Bogotá,55,15,312.25,No,Oro
91,Cliente_00091,Medellín,56,16,335.2,Sí,Platino
92,Cliente_00092,Cali,57,17,358.15,Sí,Bronce
93,Cliente_00093,Cartagena,58,18,381.1,No,Plata
94,Cliente_00094,Bucaramanga,59,19,404.05,Sí,Oro
95,Cliente_00095,Pereira,60,20,427.0,Sí,Platino
96,Cliente_00096,Bogotá,61,21,449.95,No,Bronce
97,Cliente_00097,Medellín,62,22,472.9,Sí,Plata
98,Cliente_00098,Cali,63,23,495.85,Sí,Oro
99,Cliente_00099,Cartagena,64,24,518.8,No,Platino
